ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789622833	0	117720	1	4	3	0	0	94760	51448	66272
1789622863	30	1451452	42	3450	2678	0	665464	94722	728108	723344
1789622894	61	1747548	49	8458	4346	48730	1913500	94644	884484	863064
1789622924	91	1903908	70	14211	5843	103974	3016075	94564	941888	962020
1789622954	121	2228344	78	20756	7248	153471	4166351	94468	1101532	1126812
1789622985	152	2313780	93	24243	8623	217048	5344186	94407	1145652	1168128
1789623015	182	2483388	121	28790	10216	266723	6293340	94342	1215412	1267976
1789623045	212	2616008	121	33788	11053	330342	7256419	94265	1284872	1331136
1789623076	243	2849852	131	38396	12299	379806	8504588	94185	1381236	1468616
1789623106	273	2885944	136	42068	12582	438959	9628337	94113	1425316	1460628
1789623137	304	3051624	136	45462	12729	489078	10894453	94043	1507092	1544532
1789623167	334	3115056	145	49686	13069	550350	11864822	93967	1491696	1623360
1789623197	364	3189560	159	52361	13646	599683	12810354	93911	1550544	1639016
1789623228	395	3282776	159	56825	14062	667069	13807043	93845	1599244	1683532
1789623258	425	3410680	160	59879	15401	716661	14501515	93791	1646004	1764676
1789623289	456	3516132	172	61203	15373	747287	15417576	93737	1708904	1807228
1789623319	486	3531848	172	62872	15720	776589	16243456	93700	1684508	1847340
1789623350	517	3604272	172	65058	15861	825957	17274824	93652	1730068	1874204
1789623380	547	3665264	177	67279	15504	892287	18055052	93600	1768744	1896520
1789623411	578	3649576	183	68784	15072	942030	18982619	93559	1747940	1901636
1789623441	608	3695656	198	68521	14088	967007	19815369	93529	1768580	1927076
1789623471	638	3723504	198	70469	14213	1004670	20827867	93482	1778620	1944884
1789623502	669	3703048	198	72216	13788	1053896	21770427	93446	1790548	1912500
1789623532	699	3714352	198	73777	14392	1119472	22528914	93396	1790296	1924056
1789623562	729	3756044	198	74882	14303	1143943	23251166	93359	1789952	1966092
1789623593	760	3780300	198	76334	15099	1192643	23918637	93325	1827128	1953172
1789623623	790	3778676	201	77929	15170	1235826	24539406	93287	1802020	1976656
1789623654	821	3811696	201	81051	14780	1284902	25311961	93223	1814440	1997256
1789623684	851	3867240	201	83082	14718	1347308	26019998	93184	1831196	2036044
1789623715	882	3875248	201	84075	14597	1372089	26742606	93144	1841532	2033716
1789623745	912	3897520	201	84272	14519	1428908	27487614	93097	1849312	2048208
1789623775	942	3920072	201	87285	13887	1461752	28191144	93058	1875220	2044852
1789623806	973	3929136	201	86922	14073	1510957	28796878	93027	1869624	2059512
1789623836	1003	3979640	201	87621	13440	1576157	29465523	92992	1904544	2075096
1789623866	1033	4024360	201	89288	13612	1576157	30266802	92965	1923456	2100904
1789623897	1064	3980736	201	90060	13900	1650209	31030482	92931	1891708	2089028
1789623927	1094	4002428	201	90002	13260	1693301	31903132	92913	1903940	2098488
1789623958	1125	4032676	201	90255	13699	1743146	32632747	92889	1899772	2132904
1789623988	1155	4046768	201	90491	13198	1776167	33723019	92863	1920960	2125808
1789624018	1185	4087512	201	89452	13665	1809540	34763914	92842	1929192	2158320
1789624049	1216	4085784	201	89117	12625	1858511	35581117	92833	1918888	2166896
1789624079	1246	4094404	201	89824	14401	1892284	36141214	92810	1942372	2152032
1789624109	1276	4099640	201	90142	14334	1926835	36904410	92776	1944044	2155596
1789624140	1307	4154248	201	90477	14802	1999160	37511773	92771	1957976	2196272
1789624170	1337	4115228	201	90169	14107	2045767	38225110	92746	1946280	2168948
1789624201	1368	4085956	201	90945	14411	2094890	38758213	92281	1907784	2178172
1789624231	1398	4028788	201	90780	14411	2156723	39347265	92278	1894908	2133880
1789624262	1429	3973924	201	90693	14201	2181606	39936100	92268	1902412	2071512
1789624292	1459	3993068	201	90884	13801	2238727	40522230	92260	1920368	2072700
1789624323	1490	4012424	201	90661	13744	2238727	41229727	92234	1919412	2093012
1789624353	1520	3967188	201	90375	12940	2297202	41964118	92221	1906856	2060332
1789624384	1551	3965768	201	90161	12906	2356292	42636032	92208	1909856	2055912
1789624414	1581	3959656	201	90598	13599	2390142	43030121	92193	1902064	2057592
1789624444	1611	3962848	201	89657	13074	2414745	43678762	92190	1919932	2042916
1789624475	1642	3971500	201	90170	12473	2464286	44214701	92170	1928712	2042788
1789624505	1672	3930220	201	88348	12575	2510237	44972968	92168	1918404	2011816
1789624535	1702	3941152	201	90039	12519	2535320	45567903	92146	1921984	2019168
1789624566	1733	3912588	201	89402	12070	2584703	46191902	92135	1913644	1998944
