ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789622865	31	90.5	89.7	981	52	2986	1142	250	0	14914	383	1615	33103	1188	1238	342	1494	680	36535	11772	693	5564	3036	242
1789622895	61	98.5	97.9	1510	688	2974	2009	317	0	12511	536	2101	80272	3194	2163	420	2477	1825	85188	42039	826	8196	5706	468
1789622926	92	97.6	97.0	1979	886	3077	2868	422	0	18840	761	3247	123813	5488	3141	480	3483	2910	130231	69157	918	10818	8326	694
1789622957	123	97.5	96.7	3136	939	2951	3865	325	0	25673	905	2929	172403	8191	4096	523	4484	3849	179993	90137	1034	13282	10784	948
1789622987	153	97.4	96.7	3866	1102	2904	4440	421	0	11683	979	3234	216845	9417	5119	586	5622	5005	226201	115509	1082	15988	13447	1207
1789623017	183	96.6	95.9	2907	1402	2877	5496	481	0	17262	1114	3463	256605	11462	6231	579	6794	5949	266862	138967	1216	18649	16106	1469
1789623047	213	97.1	96.3	3256	1605	2955	5731	460	0	20284	1313	3775	296629	13372	7254	698	7818	6916	308513	165097	1272	21272	18592	1957
1789623076	241	97.4	96.6	2894	1653	2954	7006	536	0	20840	1324	2545	342344	15158	8426	667	9063	7715	355464	178880	1388	23902	20975	2330
1789623105	271	97.4	96.7	4517	1567	2992	5742	431	0	9570	1477	4072	384804	16641	9508	749	10228	8644	399088	198445	1392	26365	23275	2895
1789623136	302	97.8	97.2	4794	2157	3137	7164	711	0	18675	1505	4123	436576	18713	10445	740	11201	9415	452238	211206	1477	28683	25255	3385
1789623166	332	97.9	96.9	5079	1739	2819	5886	648	0	29623	1707	4671	474179	20485	11483	695	11989	10268	491228	233504	1538	31169	27592	4082
1789623198	364	97.4	96.8	4367	1561	3003	7766	624	0	16583	1655	6413	514333	21513	12597	769	13190	11318	533233	255256	1572	33970	29884	4820
1789623229	395	97.7	96.3	4678	1896	3110	6395	589	0	21740	2095	5385	557297	23524	13661	915	14456	12262	577492	278675	1613	36426	32066	5678
1789623257	423	96.9	96.1	3372	1425	3072	7986	488	0	33303	1839	5039	583948	24405	14921	937	15704	13121	605783	295695	1696	39384	35063	6078
1789623286	452	97.7	97.1	5866	1879	2998	6072	507	0	14565	1882	3267	628965	25448	16018	805	16625	13889	651724	326629	1759	41874	36995	6984
1789623319	485	97.3	95.8	3766	1787	3009	7918	745	0	29274	2201	7943	662106	26379	17286	838	17944	14795	686535	348830	1777	44848	39666	7583
1789623346	512	97.0	96.0	3975	1618	2950	6274	638	0	18861	2228	3747	694635	27165	18442	783	19109	15540	720485	364959	1791	47465	41741	8574
1789623377	543	96.3	95.6	4261	2134	3113	8081	587	0	29296	2343	6077	728894	28014	19633	940	20280	16361	756303	380915	1818	50167	43958	9562
1789623406	571	98.1	97.4	5029	1943	2911	6220	493	0	26859	2343	6028	762994	28854	20624	895	21286	17087	791708	396768	1823	52265	45802	10460
1789623436	602	97.5	96.1	4799	2106	2887	8015	718	0	27652	2548	6446	795348	29162	21800	899	22553	17853	825583	415642	1838	54889	47782	11523
1789623466	632	97.0	95.6	4838	1704	2878	6332	902	0	7925	2536	6327	828616	30055	23210	761	23556	18402	860455	424719	1815	57439	49486	13059
1789623501	666	96.6	96.0	6898	1315	1977	7764	329	0	27518	2445	6418	873863	31568	24168	627	24483	19488	907070	452297	1847	59512	51779	14080
1789623526	691	96.6	95.8	6171	2018	3535	6208	442	0	6708	2418	3538	904505	31618	25183	1134	25221	20191	939423	473992	1858	62257	53160	14838
1789623563	729	97.7	96.6	4117	1547	2121	7743	493	0	43771	2505	9031	944715	32867	26545	601	26684	21169	981108	496410	1889	64824	56029	16038
1789623586	752	97.3	96.0	8139	2648	2082	5822	490	0	16753	2703	3901	969098	33485	27341	532	27387	21894	1006815	517673	1890	66854	57525	16921
1789623620	786	97.5	94.8	5747	1413	3059	8390	781	0	11551	2806	9751	993746	34018	28609	1106	28988	22689	1033819	532487	1900	70363	59965	18318
1789623650	816	96.5	95.6	6625	1495	2822	6875	892	0	26218	2610	6724	1025291	35624	29987	1047	30076	23745	1067061	545173	1922	73276	62335	19597
1789623677	843	96.6	96.0	5475	1543	2306	8401	443	0	40201	2682	4146	1052297	36507	31180	701	31240	24396	1095498	559588	1957	75736	64389	20753
1789623707	873	97.1	96.1	7969	1844	2346	6719	580	0	31095	2777	6779	1087108	37413	31890	921	32169	25234	1131311	579209	1954	77890	66139	21609
1789623736	902	97.0	96.1	6212	1799	2856	8836	930	0	21266	2727	7080	1112106	37997	33206	951	33199	25838	1158228	590677	1943	80969	68355	22811
1789623768	934	96.7	95.9	5977	3266	2940	7176	971	0	13978	2841	7142	1149039	38702	34237	949	34369	26682	1196701	609267	1959	83360	69800	24238
1789623797	962	97.0	96.3	3897	2017	2857	9169	833	0	26650	2857	4636	1176130	39403	35495	863	35461	27407	1226395	629152	1986	86210	71880	25833
1789623827	993	96.6	95.8	4978	3751	2974	7103	876	0	19957	2801	7239	1203009	39734	36449	1023	36600	28237	1254203	653856	1999	88566	73319	27238
1789623857	1023	96.8	96.1	4420	2524	3203	9280	1431	0	13858	2842	7299	1228221	39859	37653	1025	37507	28937	1283521	670092	2009	91689	75490	28483
1789623888	1054	96.8	96.3	6159	2761	2918	7112	1022	0	27288	3004	7190	1253709	39910	38615	982	38697	29705	1319154	688114	2015	94004	77328	29878
1789623919	1085	96.4	95.9	5780	1913	1635	8675	365	0	47391	3073	4741	1285194	40000	39712	616	39456	30540	1359339	716885	2054	96190	79382	31525
1789623947	1113	95.8	94.8	7358	2394	3762	7710	1766	0	6392	2851	7029	1307163	39258	40787	1333	40359	31209	1387083	736867	2016	99743	81119	32487
1789623978	1144	95.5	94.2	7142	2974	3590	9069	1756	0	21135	2991	7083	1326752	39869	41843	1196	42065	31911	1431455	747706	2024	102131	83339	33071
1789624006	1172	95.8	95.3	6540	2047	3187	6463	1265	0	5741	3326	4715	1340512	39491	42921	995	42553	32402	1482514	759586	2032	104067	84108	35364
1789624039	1205	97.4	96.7	7644	1764	2523	8299	916	0	77093	2969	7661	1370433	40000	43918	1056	43920	33240	1516029	785869	2109	106453	86745	36520
1789624072	1238	96.4	95.8	6357	3071	2745	7629	984	0	26392	3187	7503	1400039	39968	45072	1017	44831	34179	1552826	817382	2069	108890	87807	38596
1789624096	1262	95.9	94.9	6109	1808	2520	9459	564	0	9314	3163	4590	1419717	39864	46194	914	45859	34754	1573655	838675	2062	111321	89306	40498
1789624126	1292	96.3	95.4	7256	2107	3446	8027	1517	0	5432	3171	7931	1438801	39471	47360	1185	46587	35584	1602561	859298	2075	114678	91050	42108
1789624159	1325	96.3	95.8	9092	1379	2740	10046	989	0	37157	3140	7879	1463499	40000	48710	852	47827	36351	1630076	878865	2094	117494	93534	43577
1789624190	1356	94.6	93.6	4734	1994	3050	8207	947	0	13658	3176	7970	1480256	39973	50000	1091	49321	37299	1654788	896790	2087	120495	95566	45343
1789624216	1381	92.6	91.7	5149	2691	2861	9867	921	0	15078	3286	4865	1497222	40000	50000	904	50466	38171	1682535	910603	2062	122785	97061	46875
1789624247	1413	95.8	94.2	5350	1727	3097	8119	762	0	22220	3665	8777	1514072	39973	50000	1136	51495	38935	1705622	927059	2034	126172	99498	48189
1789624278	1444	95.8	93.5	5866	2925	1782	9795	620	0	50230	3590	8351	1530661	40000	50000	655	52586	39655	1730969	946219	2012	128548	101626	50271
1789624308	1474	94.9	94.0	6246	2391	2920	7553	535	0	21252	3025	7563	1556136	40000	50000	1414	53514	40487	1764724	966125	2001	131268	103088	52005
1789624338	1504	93.9	93.3	5039	2432	2800	9757	906	0	26051	3211	7743	1576302	40000	50000	1069	54824	41115	1787403	983097	1984	134328	104939	53424
1789624368	1534	92.4	91.5	5838	1822	2608	7570	1049	0	20302	2931	7653	1597582	39773	50000	903	55815	41761	1817561	996888	1971	136601	106104	55763
1789624396	1562	94.0	93.2	5676	3249	2652	9562	951	0	15724	3018	7631	1615955	39998	50000	910	57010	42388	1837548	1016736	1976	139286	107792	57523
1789624430	1596	94.5	93.4	6222	2296	2870	8059	1213	0	19439	3041	10522	1636192	40000	50000	1071	57886	43055	1861935	1036789	1969	142203	109641	59289
1789624462	1628	92.6	91.3	5628	1467	3420	10514	859	0	27014	3254	8333	1649729	39726	49974	1395	58983	43666	1878740	1057176	1967	145440	111889	61556
1789624489	1655	95.4	94.2	4695	2809	3048	7358	1258	0	11347	3094	7359	1668687	39800	50000	1079	59541	44381	1904019	1074006	1926	147953	113194	63094
1789624516	1681	93.7	93.1	7178	2435	2581	9115	728	0	15875	2775	4435	1690182	39918	50000	943	60442	44937	1927002	1098903	1944	150454	114878	65084
1789624551	1717	94.0	93.6	6471	3757	3232	7350	796	0	19169	2930	10196	1712099	40000	49998	1391	61267	45693	1960799	1126911	1930	152907	116455	66719
1789624580	1746	93.5	92.5	5914	1597	3063	10026	1269	0	19031	2908	7349	1727447	40000	50000	1242	62491	46080	1991880	1139236	1938	156559	118557	69244
1789624609	1775	94.0	93.8	6956	4655	4041	7596	564	0	21298	2831	6824	1746891	39684	50000	1500	62600	46756	2026252	1160653	1939	159471	120070	70273
1789624637	1802	94.7	93.8	4283	2438	2706	9043	847	0	42509	2831	7248	1757039	39517	50000	1065	63844	47258	2037763	1185150	1962	161757	122693	71784
1789624667	1833	97.0	96.5	6453	3352	1700	6331	21	0	26121	2923	7119	1787315	40000	50000	801	64240	48126	2078061	1212489	1954	163320	123831	73161
1789624695	1861	92.7	91.7	7768	1893	2379	8742	921	0	7628	3602	7950	1801336	39913	50000	961	65254	48510	2095562	1226149	1936	166622	125405	75489
1789624730	1896	95.5	93.9	6331	2146	2600	8072	811	0	24354	3237	11284	1818602	40000	50000	1253	65977	49341	2120662	1246424	1935	169635	127554	77459
1789624760	1925	94.8	94.0	7370	1476	2698	10111	705	0	13805	3123	8039	1830440	40000	49996	1189	67083	50045	2142863	1261246	1931	172770	129397	79554
1789624786	1952	94.1	93.0	5841	2238	2982	8094	1196	0	14015	3216	8100	1842223	39923	50000	1184	67822	50744	2158084	1278492	1934	175728	131177	81373
1789624817	1983	96.5	95.7	5350	2306	2721	10237	936	0	26438	3289	8490	1858676	40000	50000	1102	69104	51558	2178770	1297511	1921	179052	133466	83005
1789624846	2012	96.5	95.7	4570	1916	3009	8336	885	0	18982	3143	8012	1872101	40000	49986	1211	70105	52317	2198096	1315833	1917	182145	135681	84772
1789624881	2047	97.1	96.3	5649	2365	3185	10612	1801	0	13000	3336	11208	1891711	40000	50000	985	70563	53231	2227264	1345346	1907	185433	137509	86265
1789624913	2078	97.5	96.8	7366	1882	1946	7684	536	0	41865	3365	8338	1911162	39735	50000	1021	71640	54058	2251974	1371237	1936	187827	140017	88406
