ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789622866	32	93.1	92.1	1916	67	2976	1216	300	0	16508	447	2122	32524	1229	1305	340	1601	630	35984	10849	682	5554	2978	175
1789622896	62	98.5	97.8	2077	788	3021	2056	430	0	15003	701	2466	79371	3264	2237	380	2533	1693	83975	36166	780	8211	5648	376
1789622926	92	98.0	97.3	2129	831	2918	3039	393	0	22803	837	2852	125944	5604	3208	492	3615	2833	131892	62646	898	10860	8393	584
1789622959	125	97.3	96.6	2848	1297	2583	3874	236	0	33109	852	2078	183469	8812	4211	418	4654	3872	190669	84961	1049	13241	10958	796
1789622987	153	96.9	96.1	2494	1093	3060	4409	435	0	17597	1096	4223	216599	9679	5194	650	5720	4910	225440	109217	1052	15996	13493	1120
1789623017	183	97.3	96.6	2591	1507	2960	5548	487	0	18372	1093	3515	257760	11752	6339	594	6943	5961	267768	132005	1163	18817	16182	1406
1789623047	213	97.4	96.4	2746	1375	3092	5813	434	0	24986	1321	3940	296367	13602	7518	745	8110	6906	307915	153625	1235	21661	19013	1899
1789623075	241	97.3	96.2	2679	1680	2929	7145	501	0	13613	1344	2750	340447	15472	8673	638	9257	7760	353094	169229	1306	24285	21313	2291
1789623106	272	97.6	96.9	3380	2155	3036	5797	550	0	14793	1470	4199	386531	17139	9577	824	10319	8674	400611	189750	1362	26544	23508	2756
1789623140	305	97.4	96.6	3711	2157	2620	7402	604	0	36400	1501	4417	440376	19322	10946	530	11530	9493	455995	202841	1442	29405	26203	3271
1789623166	332	97.3	96.7	4044	2153	2844	5682	771	0	16733	1633	4309	476517	20934	11713	614	12355	10246	493173	224021	1421	31363	27549	4184
1789623197	362	97.7	96.7	3328	1808	3007	7541	468	0	32257	1719	5031	514847	21791	12835	822	13490	11281	533151	247249	1485	34245	30261	4737
1789623227	393	96.6	95.8	5154	1828	2807	6241	737	0	28071	1738	5058	552794	23948	13916	787	14495	12251	572551	268335	1534	36881	32583	5457
1789623258	424	97.0	95.9	3790	1636	2473	7898	473	0	36061	1841	5271	585101	25049	15250	718	15942	13226	606429	292720	1582	39859	35566	6085
1789623286	452	97.3	96.6	5772	1920	2952	6339	528	0	24564	1800	4934	622530	25695	16462	801	17043	13936	645224	322026	1619	42593	37645	6878
1789623316	482	96.5	95.5	5128	2187	2907	7880	673	0	13719	2027	5523	659603	26722	17378	937	18292	14834	683631	344975	1612	44898	39559	7914
1789623347	513	97.7	96.6	4766	1827	2728	6501	608	0	29572	2085	5893	691603	27570	18727	823	19354	15650	717247	363827	1660	47860	42117	8832
1789623377	542	97.1	96.0	4072	1669	2602	8345	590	0	42965	2216	6049	722804	28373	20043	791	20741	16387	750235	380356	1688	50587	44373	10020
